model;dataset;scenario;time
FEAWAD;EmailSpam-bert;D;408.01
DevNet;EmailSpam-bert;D;14.24
FTTransformer;EmailSpam-bert;E;2116.65
FEAWAD;EmailSpam-bert;E;416.42
DevNet;EmailSpam-bert;E;13.09
AE;NSL-KDD;A;6.29
VAE;NSL-KDD;A;31.07
DeepSVDD;NSL-KDD;A;5.75
DAGMM;NSL-KDD;A;23.24
SO_GAAL;NSL-KDD;A;20.61
LUNAR;NSL-KDD;A;5.84
GANoma;NSL-KDD;A;13.21
FTTransformer;NSL-KDD;B;287.7
FEAWAD;NSL-KDD;B;268.65
DevNet;NSL-KDD;B;13.01
FTTransformer;NSL-KDD;C;924.81
FEAWAD;NSL-KDD;C;268.02
DevNet;NSL-KDD;C;12.48
FTTransformer;NSL-KDD;D;503.25
FEAWAD;NSL-KDD;D;271.61
DevNet;NSL-KDD;D;12.99
FTTransformer;NSL-KDD;E;692.39
FEAWAD;NSL-KDD;E;269.71
DevNet;NSL-KDD;E;12.74
AE;CreditCard;A;3.99
VAE;CreditCard;A;26.14
DeepSVDD;CreditCard;A;5.42
DAGMM;CreditCard;A;22.03
SO_GAAL;CreditCard;A;17.38
LUNAR;CreditCard;A;4.56
GANoma;CreditCard;A;9.43
FTTransformer;CreditCard;B;246.28
FEAWAD;CreditCard;B;260.26
DevNet;CreditCard;B;12.5
FTTransformer;CreditCard;C;324.41
FEAWAD;CreditCard;C;263.0
DevNet;CreditCard;C;12.47
FTTransformer;CreditCard;D;357.38
FEAWAD;CreditCard;D;260.28
DevNet;CreditCard;D;13.09
FTTransformer;CreditCard;E;388.77
FEAWAD;CreditCard;E;262.94
DevNet;CreditCard;E;13.14
AE;AnnThyroid;A;2.25
VAE;AnnThyroid;A;15.86
DeepSVDD;AnnThyroid;A;3.47
DAGMM;AnnThyroid;A;13.34
SO_GAAL;AnnThyroid;A;4.07
LUNAR;AnnThyroid;A;3.3
GANoma;AnnThyroid;A;5.7
FTTransformer;AnnThyroid;B;61.16
FEAWAD;AnnThyroid;B;260.28
DevNet;AnnThyroid;B;13.56
FTTransformer;AnnThyroid;C;113.47
FEAWAD;AnnThyroid;C;260.51
DevNet;AnnThyroid;C;12.71
FTTransformer;AnnThyroid;D;139.07
FEAWAD;AnnThyroid;D;259.69
DevNet;AnnThyroid;D;13.39
FTTransformer;AnnThyroid;E;154.54
FEAWAD;AnnThyroid;E;260.93
DevNet;AnnThyroid;E;13.27
AE;EmailSpam-bert;A;2.24
VAE;EmailSpam-bert;A;28.45
DeepSVDD;EmailSpam-bert;A;3.27
DAGMM;EmailSpam-bert;A;10.0
SO_GAAL;EmailSpam-bert;A;11.73
LUNAR;EmailSpam-bert;A;2.88
GANoma;EmailSpam-bert;A;7.88
